draw,pi_theta,pi_a,q0,q2_0,H,c_e_star,W_status_quo,W_full_arch,gain_pct
102,0.7468720195942562,0.09438247765395341,0.03914882216735513,0.1351940938882605,89.51018375478908,33.60674144350083,184.86198303729185,250.44901232029662,35.4789168683612
104,0.5293800800018369,0.09743846816127877,0.016607317480683857,0.502229948320911,99.56050782011431,11.656298701239415,191.66032984037273,232.75211731438193,21.439902304369994
105,0.4602887146416447,0.2882097704465628,0.04347815995813989,0.3598251669154039,74.5699742994981,16.922389158016507,184.53512569004909,233.80518929374958,26.699558373756993
106,0.5005473506858447,0.17120217803604965,0.15079370361723166,0.781440161639363,64.10272999500145,39.17038743800794,161.69459420543328,233.4284451562351,44.36379045527264
107,0.4922258873831604,0.04160986065005439,0.003176375616234383,0.48691696191631073,113.0912007772655,36.465252109868445,167.06888537080806,231.88108491503348,38.79369841989145
108,0.6345750520113201,0.06473287699222446,0.12381330539560141,0.8075870240270632,135.64096306557394,12.332340007751263,173.89626522239223,218.7551104923448,25.79632472990927
109,0.32332480281651604,0.17441782787325064,0.033767494137254994,0.7047220092874689,117.47503563802233,30.477643666506495,161.7515166400178,222.93757765732295,37.827194630561834
110,0.2080654044773983,0.05904148539613096,0.07570264749331788,0.21229217283361476,142.79706081658242,24.754377442387298,171.92625823405027,223.40816633798218,29.94417992500452
111,0.2507269265111681,0.13335635419665087,0.061585072988835206,0.06764668017771516,50.05681292589445,22.95836983001446,178.87541893331866,227.30393055701174,27.073877401649195
112,0.376101089771252,0.027794982419253798,0.09380893646266289,0.6654945936293819,100.02096493133521,32.68279443138559,164.8872423825313,226.64999351283478,37.45756811616545
113,0.06891355892179235,0.16636129172388245,0.18379028707594117,0.42621298362413557,80.32020766345917,23.194271274414,169.6271426792721,217.3635317371532,28.14195199181076
114,0.3349894638810663,0.13034895444352299,0.09060040367615364,0.21912044666656313,135.05208789213577,23.388470157413245,173.96642861836665,228.28779010141386,31.22519782377839
115,0.12640180481632857,0.07607383449146066,0.019138255769165342,0.16248318778941218,110.65663351954298,23.340640840322372,172.53348269471192,220.37157018625058,27.72684278111131
116,0.11658313450005128,0.002636352120432199,0.18309524227472707,0.47456586387518884,99.4063603661777,19.008157364275803,174.82959444621162,219.09100983519045,25.31688958564528
117,0.8687364894044259,0.02006108248803559,0.026849095896599375,0.3464930824701749,97.50224440043607,28.10217872462826,192.46396878583005,251.2058660844091,30.520984093363385
118,0.07369409433202281,0.09379422557053647,0.14874883752678544,0.5594483560063879,126.3019296776748,39.106047177095306,152.6526475048429,216.79866482387155,42.02090063128033
119,0.38999072081482067,0.05928638910625477,0.05050952109981578,0.07812514454054736,97.24686775644882,25.29491098171148,181.48489217555397,234.0173566126066,28.94591599736959
120,0.29405886822136745,0.07000797428916782,0.09703654097566229,0.7992967867433719,111.86606119363177,37.80011464243846,154.76812856582853,221.9086092401048,43.381335224790135
121,0.7972636578362644,0.012079830423195211,0.019246950444260637,0.5359691993735654,134.27319688064722,23.391684764311286,182.91313525574452,235.40284554550476,28.69652319740212
122,0.23089018622496243,0.03694682888978536,0.04855001912282531,0.2706352581166412,77.96363291025303,10.961307681345316,189.10294346421398,225.27457650015347,19.12801163921843
123,0.5453757537128144,0.0019181608408449027,0.013846372429831038,0.3801495094201961,84.48312593988379,22.638403830497637,188.67606942409043,238.09430735426045,26.192106969905023
124,0.110604031634715,0.16321745689397027,0.019549638622281956,0.7899675554161342,64.67432332076525,20.088574912820853,173.92922944606573,218.67306841960087,25.725313172510713
125,0.7436751128276933,0.05738763079969464,0.08644408587923329,0.5212979348933527,143.0105519250124,25.07238980892815,172.01466975222758,234.41784814184925,36.27782355976273
126,0.24762448239799117,0.10060653980138222,0.05777623943427821,0.34855194040201964,70.01834305848595,30.401048062236743,169.1955780911815,225.6839101898347,33.386411592985596
127,0.5104319469701359,0.03701023077929659,0.04430653244118339,0.6623757422145432,99.4600223974453,13.718141633226335,187.35971286054655,229.31755203472972,22.39426957566526
128,0.7604370806950463,0.12520020868181453,0.25076206852784927,0.4824348007209247,111.31094189941395,10.423742004304719,184.13011656093963,240.77887525786744,30.76561279326588
129,0.5330622485923309,0.04585639267526624,0.11866441447474062,0.5477732436846812,52.52049471261622,16.063429004693997,193.179281645623,238.1212152023975,23.26436519171764
130,0.3118677791541223,0.15898747879311023,0.18368238353674618,0.41571875818496323,142.924224400615,12.830245079189664,177.52018814282684,224.4620167928537,26.443093115842697
131,0.8615779701405678,0.015102303516761032,0.24309650060782506,0.35432242393087754,76.52134561125659,21.78205036305259,193.2267346792674,253.5525624857548,31.22022835329742
132,0.3223573132408074,0.04629900286272631,0.0405169756607248,0.5038102628449181,132.39123610507966,17.701652846054987,178.94612427016182,224.41834449777528,25.411123271360886
133,0.6801865817907866,0.03809819588444001,0.14644655776133636,0.27464014500317374,55.884853733243176,27.935680996186107,189.04070690976246,247.62812655204215,30.991959668372413
134,0.5256615949074893,0.1751166385358815,0.1348167992655232,0.33641355540713563,60.41514938028716,39.99296010743032,167.1407149480964,238.58377714168932,42.744260257459565
135,0.397305352850853,0.01391386347358391,0.08928072621989533,0.3562341455140032,75.33076007056437,31.15817228432955,174.04594879812885,232.51695966550227,33.59515764149866
136,0.5342971833175527,0.21063819857440066,0.17375135022512084,0.23588424204310604,56.063074218940514,21.06635142212412,186.7739652467556,239.83798081913056,28.410820267305276
137,0.728543951901674,0.07248955645535755,0.2532709512010131,0.5377262803286963,129.3672624256427,11.761560449504492,177.92982261730418,235.81991908150115,32.53535332787265
138,0.20204152127946923,0.029063981625032244,0.016747933107692906,0.19629053291808385,134.24550014526673,36.07161358831008,162.48864004149354,223.57379208083475,37.593490858033114
139,0.34771978512418866,0.023138820703430533,0.01920550899738768,0.20480626176857228,79.23115434299916,39.162105313926574,166.63526723463917,231.34131258703343,38.83094282873604
140,0.15473856523695242,0.006986681704986074,0.0016460933417754677,0.8116598236169539,82.46436671103336,25.651426425575206,169.37884668128572,219.55985153376884,29.62648868834664
141,0.35332044871486695,0.019327256700924764,0.02930421821895195,0.41386907952296975,56.697801313198994,22.098207487910322,183.12170858124549,230.8542774400054,26.066035113244062
142,0.9572103759800296,0.034344011332152716,0.03039817613367388,0.38290354603924304,86.95716063567576,27.032367972812583,195.97859783967635,254.87604887151218,30.05300154255512
143,0.06468696433671828,0.050564661395012596,0.31437871492067004,0.47114902852947643,104.82733178581887,22.787326095401703,169.21071571732125,216.97274895901649,28.226364411509948
144,0.2917616861224428,0.004060875055950802,0.021976840657388905,0.3924192425933152,102.14432101579942,23.866837904310046,177.0620299600472,226.47297494196778,27.906008415847158
145,0.5906172299499336,0.12586715813129928,0.006081996796120303,0.12066865687292978,126.22513483035117,39.61558996125082,169.58686478916906,241.30236909215094,42.288360240717246
146,0.41061512795055866,0.20009545084277117,0.09070833641190827,0.18432037508923083,129.22708371704022,32.59219820861529,164.44327060277516,231.33933296320973,40.68032830727804
147,0.8104097637271288,0.022654614582952044,0.19118112165984202,0.2867431890543868,102.76363606044822,12.021229153990188,199.62897775431048,250.36718933844475,25.416255773537717
148,0.558695493015086,0.024581073752506045,0.010071200994136447,0.2715803118448649,82.24633185817777,30.918209854897874,182.3601428780332,240.4131857213266,31.834282385993014
149,0.2023473449448078,0.2002483216479428,0.12008779604296364,0.1941362589085369,108.51913513049627,29.720018853051208,165.31083345083465,223.16409599510254,34.99665529269388
150,0.6609725881145757,0.21576709307386602,0.038422070545149095,0.14764061962501926,123.4016559788723,34.82322557526241,168.63402411297733,242.39187509571698,43.738415999208534
151,0.6996080204659553,0.15691981340552252,0.13316285257385418,0.6628745548332106,73.48401632592311,13.172504123845421,191.0920611353868,239.86592054958822,25.52374971749644
152,0.5433578908569311,0.10464246119121479,0.0033489625796066184,0.382447419970075,99.86000383921264,11.016333854276695,195.0118564053914,235.49000685732238,20.7567638183931
153,0.21224374437371352,0.006908224711234199,0.12406119077220332,0.6247414328111723,133.66407464065443,14.374969022070399,178.42326892558992,220.07655838352525,23.3452114787262
154,0.25844261628315984,0.061966128865405014,0.3541583337233255,0.4823059668876414,113.92126599365015,30.714866536534394,160.86859772252774,223.88796421295012,39.17443639256468
155,0.47495440184511,0.10144104993979884,0.01990441175354529,0.49801793696057234,79.3960470924571,26.29927528707871,178.35103744620997,233.57422149848048,30.963197547379348
156,0.9349237747844362,0.03359940753018101,0.12021185785475405,0.489245677584032,89.60652512784873,11.237590975196877,202.79200880403909,249.24967316030117,22.909021233255206
157,0.5421509242222915,0.08339594527526617,0.2698358732443332,0.5866331751257526,133.61997509577753,12.302212796790919,174.53652809775585,229.02868490274454,31.22106151582681
158,0.5630071005166313,0.010494960198585777,0.1394405763816522,0.8104985792426848,144.25046192334813,38.51994524408457,147.5866805256431,222.27367769327944,50.6055132493203
159,0.3504856379876359,0.009993182643431839,0.05393170890162012,0.7518078180063589,77.11378862350904,24.82779330435588,175.04106753555362,226.72520641571805,29.526864528329362
160,0.3366873216285431,0.03432167428012102,0.07617138647060105,0.3960379124634993,58.24279894571268,24.896946914415622,178.9663917042833,230.1122919916347,28.57849443143648
161,0.36438023480997966,0.0487939556561917,0.024527570130655502,0.3160282527145897,122.94104595993042,33.962494832852826,167.7756016652788,229.29179098114673,36.66575396260297
162,0.24657071087037227,0.3397003316258498,0.11096831386626894,0.3735665274863915,89.40840894152582,17.379430545718606,176.56478589731202,224.06955452307187,26.90500735145912
163,0.24267996368609607,0.09915351838051172,0.07515263705066079,0.1722317124431633,124.56479912378578,20.241354825435785,177.59100567969085,225.3152677764279,26.87313015323205
164,0.23525116331715432,0.012865442353934935,0.06507797068926638,0.2050623086166954,137.48508488051633,14.975980891700285,184.04656859876388,225.02024980394089,22.262670538836762
165,0.6172901733013818,0.20652475625306224,0.10022470838423317,0.4350183997530771,147.19943427017705,17.41769719920311,171.17616692302173,231.99899418942948,35.53229889401596
166,0.12613590967469093,0.37259775180761445,0.11964801219859836,0.381941489620837,89.34570739883218,36.78714986088049,155.65266621234457,219.3325207174256,40.91150897358075
168,0.35677561786940265,0.09275365534218732,0.00745080108623434,0.5414787708093238,115.2787224491315,37.57328993699815,160.08347847819277,226.2048511417285,41.30430778498049
169,0.41519593181986114,0.32188655507239156,0.05291513960432459,0.3915931551699757,75.9742252086637,14.056640860119582,185.0351849227232,231.42796703474647,25.072411028961017
170,0.534313536283284,0.036469428504227346,0.10727360570670504,0.8198257890838402,134.65982162878169,27.38994157930178,161.26770837001885,222.2528269583266,37.816075645088944
171,0.5380626435303155,0.013714475479479403,0.04782000585450088,0.5869003720632575,119.35054243560607,11.198393968528794,189.7257312873275,228.28348333523837,20.3228901985454
172,0.2972386716232336,0.1999208147828459,0.06379733353094802,0.0696808528148462,131.2516340247965,32.09062291441067,165.1869412587599,227.7181737612893,37.854828006395664
173,0.5528095094162709,0.13375476973688966,0.0845684592773207,0.4602465286927558,70.9427281459429,27.634657887070876,178.80677340610822,237.89433314941166,33.045481788938176
174,0.5503502404269122,0.18422331193727953,0.07354225615168233,0.21639661461689377,102.52831635726832,19.531670044278812,184.11470691634383,238.2066430866234,29.379476021357323
175,0.17407311845470905,0.1214195659788404,0.14809465113581316,0.17436838387867223,102.90393934888903,10.029699817791583,185.7203998037476,222.44532099366626,19.774306553682962
177,0.7086301101258505,0.027499654747873362,0.03273957685617041,0.683344182043255,103.33874308310322,30.20541144175731,174.04897764931457,234.88723908360168,34.954678996660405
178,0.36249453106701884,0.014592782683639643,0.001126246613120834,0.16553871384350294,86.51847030210672,30.918468879599168,176.22709787182174,232.29566753100426,31.816088635791882
179,0.0785188422095277,0.06254149330656747,0.015646449986718894,0.06194183527989305,78.3601149605574,22.548319576851,172.3342413212061,218.509194311269,26.793835418928424
180,0.38341159107536366,0.0048335974767507875,0.21304412067326003,0.5686527454057021,60.07615211213731,27.765362305170083,174.66091492802332,231.08166685544992,32.30302094242278
181,0.29567201615290306,0.04099126344231592,0.10356405389816907,0.316402508941965,121.6130940992838,36.25299691184418,162.19700785999078,226.6677004206802,39.74838587425783
182,0.01704682503439047,0.0379814048124514,0.08277059982631088,0.1792822301739765,106.3010760086359,24.186615464625,167.89219261277643,215.30388051332892,28.23936429843523
183,0.2293648224920568,0.2817149062916744,0.07788663514693203,0.14117393259390099,79.29359065038372,36.6790555230164,160.3297705153019,224.8910474054194,40.267803466952365
184,0.3665221550652935,0.355113531100402,0.03781397500073946,0.04027236459711885,76.69336489377285,35.79040903725961,164.34843577818867,231.28636329109196,40.729275697667994
185,0.13682439095006202,0.12999969248237564,0.08868751955209427,0.5634430577870208,126.4724219141758,23.4215221841236,168.70092504364544,218.62362434376954,29.592427716213383
186,0.32086477170366395,0.12215659381126644,0.2041721832150079,0.40781121529157294,109.77793406300381,23.257032212352115,171.58175147556528,226.74036019361557,32.147130008697545
187,0.352121613847889,0.16293869377674666,0.01940765141296208,0.7612430073467322,83.74897063844386,28.328760352500957,168.6488968339848,226.0657041562511,34.045172189170295
188,0.45862471261080245,0.16782104776682705,0.049720786648356774,0.3663584716454985,58.356203214847824,21.708284253170294,184.75234481920216,235.40802726941848,27.418154015738068
